Topics,Alpha,Beta,Coherence
4,asymmetric,symmetric,0.42602208372571926
4,asymmetric,0.01,0.41316632981971796
4,asymmetric,0.5,0.40379447090449594
4,asymmetric,0.16,0.41714909612076434
4,asymmetric,1,0.3972772868480363
4,asymmetric,0.01,0.43842095593592434
4,symmetric,symmetric,0.3867909210778473
4,symmetric,0.01,0.37838004528252966
4,symmetric,0.5,0.4201550454662938
4,symmetric,0.16,0.426021753050152
4,symmetric,1,0.39827980600864454
4,symmetric,0.01,0.39496148100025297
4,0.01,symmetric,0.41151628136294277
4,0.01,0.01,0.43665949307513946
4,0.01,0.5,0.42166353731042405
4,0.01,0.16,0.42894382787135804
4,0.01,1,0.37207846565189373
4,0.01,0.01,0.43981350045804113
4,0.16,symmetric,0.4084487420327749
4,0.16,0.01,0.42158908327984007
4,0.16,0.5,0.42984966964967053
4,0.16,0.16,0.4265500218106646
4,0.16,1,0.388756114062172
4,0.16,0.01,0.39582622985242605
4,0.5,symmetric,0.38397987776872144
4,0.5,0.01,0.41794590298913326
4,0.5,0.5,0.3627842500046221
4,0.5,0.16,0.3741469676946848
4,0.5,1,0.4621876509808486
4,0.5,0.01,0.43586559280100806
4,0.1,symmetric,0.4108079274467872
4,0.1,0.01,0.4245842756294159
4,0.1,0.5,0.40417520795433914
4,0.1,0.16,0.45493888113822223
4,0.1,1,0.39052154408594586
4,0.1,0.01,0.4058131473728547
2,asymmetric,symmetric,0.44825181845680695
2,asymmetric,0.01,0.4440716628601157
2,asymmetric,0.5,0.3872817110168829
2,asymmetric,0.16,0.4108016109889964
2,asymmetric,1,0.37662463916708233
2,asymmetric,0.01,0.37659551199760444
2,symmetric,symmetric,0.41993520208065416
2,symmetric,0.01,0.3933675607125256
2,symmetric,0.5,0.43388667499394706
2,symmetric,0.16,0.39911526611401216
2,symmetric,1,0.41196208687041086
2,symmetric,0.01,0.41511060741464123
2,0.01,symmetric,0.3947403751836006
2,0.01,0.01,0.3565170079823712
2,0.01,0.5,0.36876022695696203
2,0.01,0.16,0.396422088201439
2,0.01,1,0.4142551698259016
2,0.01,0.01,0.43487895846867386
2,0.16,symmetric,0.3714027806484092
2,0.16,0.01,0.3734173819256241
2,0.16,0.5,0.3651948337042078
2,0.16,0.16,0.43805135645065624
2,0.16,1,0.3792238036702568
2,0.16,0.01,0.3528331732307971
2,0.5,symmetric,0.4054136634588827
2,0.5,0.01,0.47614728326746136
2,0.5,0.5,0.3926032951245404
2,0.5,0.16,0.4062904738761425
2,0.5,1,0.4604854778257509
2,0.5,0.01,0.4118722477083404
2,0.1,symmetric,0.3899788450992489
2,0.1,0.01,0.3882018831069321
2,0.1,0.5,0.4426241422726774
2,0.1,0.16,0.4108564970809606
2,0.1,1,0.41343896161809934
2,0.1,0.01,0.4211227888217044
6,asymmetric,symmetric,0.45155743417939076
6,asymmetric,0.01,0.3429849929000065
6,asymmetric,0.5,0.4079493011630172
6,asymmetric,0.16,0.43236861670993065
6,asymmetric,1,0.38894391051493893
6,asymmetric,0.01,0.37141622104939054
6,symmetric,symmetric,0.45731773418688215
6,symmetric,0.01,0.4054021353339974
6,symmetric,0.5,0.37179674188549316
6,symmetric,0.16,0.42919056671059996
6,symmetric,1,0.38103252446975017
6,symmetric,0.01,0.40183633383376954
6,0.01,symmetric,0.4030719767080445
6,0.01,0.01,0.39385535327056886
6,0.01,0.5,0.38631777870666506
6,0.01,0.16,0.4563629053449858
6,0.01,1,0.40341075737493043
6,0.01,0.01,0.40409616818182204
6,0.16,symmetric,0.447351694299548
6,0.16,0.01,0.4382917334956464
6,0.16,0.5,0.4431704462002817
6,0.16,0.16,0.4231772998794464
6,0.16,1,0.4078069001374728
6,0.16,0.01,0.4356686139238587
6,0.5,symmetric,0.45872158236660904
6,0.5,0.01,0.4366791554987167
6,0.5,0.5,0.40009311914856127
6,0.5,0.16,0.4311311975284591
6,0.5,1,0.36891667492195096
6,0.5,0.01,0.3671296770394148
6,0.1,symmetric,0.4232619571575428
6,0.1,0.01,0.43179155194454066
6,0.1,0.5,0.42690357303474946
6,0.1,0.16,0.390712595908448
6,0.1,1,0.4047166982599949
6,0.1,0.01,0.40040626259644174
14,asymmetric,symmetric,0.43740230809719527
14,asymmetric,0.01,0.45263597234304553
14,asymmetric,0.5,0.41807069713880507
14,asymmetric,0.16,0.4354272154800052
14,asymmetric,1,0.38704423819401496
14,asymmetric,0.01,0.38827492644686623
14,symmetric,symmetric,0.3631241544435826
14,symmetric,0.01,0.3816307421785037
14,symmetric,0.5,0.40938218357279643
14,symmetric,0.16,0.38448378050181675
14,symmetric,1,0.4159980422540803
14,symmetric,0.01,0.38224245337602275
14,0.01,symmetric,0.4351171153996925
14,0.01,0.01,0.4403395727200229
14,0.01,0.5,0.40194795846837283
14,0.01,0.16,0.3859864000564213
14,0.01,1,0.3954315560970832
14,0.01,0.01,0.38658712860866995
14,0.16,symmetric,0.466650471549442
14,0.16,0.01,0.40198097926062615
14,0.16,0.5,0.5201446174192647
14,0.16,0.16,0.3973754949170326
14,0.16,1,0.40043205890505884
14,0.16,0.01,0.42867074358004514
14,0.5,symmetric,0.392146827449271
14,0.5,0.01,0.42006158867417526
14,0.5,0.5,0.3763310732034951
14,0.5,0.16,0.3641861909499329
14,0.5,1,0.4260497160425324
14,0.5,0.01,0.4167064603291365
14,0.1,symmetric,0.3962965546811116
14,0.1,0.01,0.41597111014352706
14,0.1,0.5,0.4706835494994184
14,0.1,0.16,0.38926295037964154
14,0.1,1,0.40519440816955055
14,0.1,0.01,0.4014113055072992
